id,calle,numero,junta,barrio,etiqueta,codPos,lastUpdated,geometry
"http://www.zaragoza.es/api/recurso/urbanismo-infraestructuras/portalero/5263","http://www.zaragoza.es/api/recurso/urbanismo-infraestructuras/callejero/via/560","7","http://www.zaragoza.es/api/recurso/sector-publico/territorio/junta-administrativa/2","","7","50003",2012-10-18T00:00:00Z,"675423.63 4614461.46"
"http://www.zaragoza.es/api/recurso/urbanismo-infraestructuras/portalero/5264","http://www.zaragoza.es/api/recurso/urbanismo-infraestructuras/callejero/via/640","7","http://www.zaragoza.es/api/recurso/sector-publico/territorio/junta-administrativa/3","","7","50002",2012-10-18T00:00:00Z,"677288.66 4613564.03"
"http://www.zaragoza.es/api/recurso/urbanismo-infraestructuras/portalero/5265","http://www.zaragoza.es/api/recurso/urbanismo-infraestructuras/callejero/via/30518","7","http://www.zaragoza.es/api/recurso/sector-publico/territorio/junta-administrativa/6","","7","50014",2012-10-18T00:00:00Z,"677827.02 4614774.07"
"http://www.zaragoza.es/api/recurso/urbanismo-infraestructuras/portalero/5267","http://www.zaragoza.es/api/recurso/urbanismo-infraestructuras/callejero/via/800","7","http://www.zaragoza.es/api/recurso/sector-publico/territorio/junta-administrativa/5","","7","50010",2012-10-18T00:00:00Z,"674986.46 4613479.99"
"http://www.zaragoza.es/api/recurso/urbanismo-infraestructuras/portalero/5269","http://www.zaragoza.es/api/recurso/urbanismo-infraestructuras/callejero/via/1040","7","http://www.zaragoza.es/api/recurso/sector-publico/territorio/junta-administrativa/4","","7","50004",2012-10-18T00:00:00Z,"675989.71 4613097.31"
"http://www.zaragoza.es/api/recurso/urbanismo-infraestructuras/portalero/5270","http://www.zaragoza.es/api/recurso/urbanismo-infraestructuras/callejero/via/1120","7","http://www.zaragoza.es/api/recurso/sector-publico/territorio/junta-administrativa/2","","7","50003",2012-10-18T00:00:00Z,"675291.37 4614466.77"
"http://www.zaragoza.es/api/recurso/urbanismo-infraestructuras/portalero/5271","http://www.zaragoza.es/api/recurso/urbanismo-infraestructuras/callejero/via/1160","7","http://www.zaragoza.es/api/recurso/sector-publico/territorio/junta-administrativa/2","","7","50003",2012-10-18T00:00:00Z,"675025.83 4614492.43"
"http://www.zaragoza.es/api/recurso/urbanismo-infraestructuras/portalero/5272","http://www.zaragoza.es/api/recurso/urbanismo-infraestructuras/callejero/via/16660","7","http://www.zaragoza.es/api/recurso/sector-publico/territorio/junta-administrativa/3","","7","50003",2012-10-18T00:00:00Z,"676605.35 4613666.03"
"http://www.zaragoza.es/api/recurso/urbanismo-infraestructuras/portalero/5276","http://www.zaragoza.es/api/recurso/urbanismo-infraestructuras/callejero/via/16880","7","http://www.zaragoza.es/api/recurso/sector-publico/territorio/junta-administrativa/10","","7","50007",2012-10-18T00:00:00Z,"675825.48 4610960.7"
"http://www.zaragoza.es/api/recurso/urbanismo-infraestructuras/portalero/5278","http://www.zaragoza.es/api/recurso/urbanismo-infraestructuras/callejero/via/16960","7","http://www.zaragoza.es/api/recurso/sector-publico/territorio/junta-administrativa/10","","7","50007",2012-10-18T00:00:00Z,"676236.8 4610972.26"
"http://www.zaragoza.es/api/recurso/urbanismo-infraestructuras/portalero/5280","http://www.zaragoza.es/api/recurso/urbanismo-infraestructuras/callejero/via/17000","7","http://www.zaragoza.es/api/recurso/sector-publico/territorio/junta-administrativa/16","http://www.zaragoza.es/api/recurso/sector-publico/territorio/barrio/3","7","50620",2012-10-17T00:00:00Z,"664258.56 4620552.56"
"http://www.zaragoza.es/api/recurso/urbanismo-infraestructuras/portalero/5281","http://www.zaragoza.es/api/recurso/urbanismo-infraestructuras/callejero/via/17060","7","http://www.zaragoza.es/api/recurso/sector-publico/territorio/junta-administrativa/8","","7","50011",2012-10-18T00:00:00Z,"673121.29 4613387.88"
"http://www.zaragoza.es/api/recurso/urbanismo-infraestructuras/portalero/5286","http://www.zaragoza.es/api/recurso/urbanismo-infraestructuras/callejero/via/17220","7","http://www.zaragoza.es/api/recurso/sector-publico/territorio/junta-administrativa/9","","7","50008",2012-10-18T00:00:00Z,"677105.11 4612499.2"
"http://www.zaragoza.es/api/recurso/urbanismo-infraestructuras/portalero/5288","http://www.zaragoza.es/api/recurso/urbanismo-infraestructuras/callejero/via/17280","7","http://www.zaragoza.es/api/recurso/sector-publico/territorio/junta-administrativa/4","","7","50008",2012-10-18T00:00:00Z,"676601.1 4612824.31"
"http://www.zaragoza.es/api/recurso/urbanismo-infraestructuras/portalero/5290","http://www.zaragoza.es/api/recurso/urbanismo-infraestructuras/callejero/via/17320","7","http://www.zaragoza.es/api/recurso/sector-publico/territorio/junta-administrativa/11","","7","50006",2012-10-18T00:00:00Z,"675958.02 4612289.08"
"http://www.zaragoza.es/api/recurso/urbanismo-infraestructuras/portalero/5292","http://www.zaragoza.es/api/recurso/urbanismo-infraestructuras/callejero/via/17360","7","http://www.zaragoza.es/api/recurso/sector-publico/territorio/junta-administrativa/5","","7","50009",2012-10-18T00:00:00Z,"674704.2 4612814.12"
"http://www.zaragoza.es/api/recurso/urbanismo-infraestructuras/portalero/6665","http://www.zaragoza.es/api/recurso/urbanismo-infraestructuras/callejero/via/7380","8","http://www.zaragoza.es/api/recurso/sector-publico/territorio/junta-administrativa/4","","8","50005",2012-10-18T00:00:00Z,"676016.31 4613044.84"
"http://www.zaragoza.es/api/recurso/urbanismo-infraestructuras/portalero/6667","http://www.zaragoza.es/api/recurso/urbanismo-infraestructuras/callejero/via/7405","8","http://www.zaragoza.es/api/recurso/sector-publico/territorio/junta-administrativa/16","http://www.zaragoza.es/api/recurso/sector-publico/territorio/barrio/3","8","50620",2012-10-17T00:00:00Z,"664013.64 4621049.27"
"http://www.zaragoza.es/api/recurso/urbanismo-infraestructuras/portalero/6670","http://www.zaragoza.es/api/recurso/urbanismo-infraestructuras/callejero/via/7475","8","http://www.zaragoza.es/api/recurso/sector-publico/territorio/junta-administrativa/16","http://www.zaragoza.es/api/recurso/sector-publico/territorio/barrio/3","8","50620",2012-10-17T00:00:00Z,"664061.74 4620983.4"
"http://www.zaragoza.es/api/recurso/urbanismo-infraestructuras/portalero/6672","http://www.zaragoza.es/api/recurso/urbanismo-infraestructuras/callejero/via/7500","8","http://www.zaragoza.es/api/recurso/sector-publico/territorio/junta-administrativa/3","","8","50003",2012-10-18T00:00:00Z,"676650.91 4613601.25"
"http://www.zaragoza.es/api/recurso/urbanismo-infraestructuras/portalero/6675","http://www.zaragoza.es/api/recurso/urbanismo-infraestructuras/callejero/via/7580","8","http://www.zaragoza.es/api/recurso/sector-publico/territorio/junta-administrativa/6","","8","50014",2012-10-18T00:00:00Z,"678232.08 4614645.27"
"http://www.zaragoza.es/api/recurso/urbanismo-infraestructuras/portalero/6677","http://www.zaragoza.es/api/recurso/urbanismo-infraestructuras/callejero/via/7670","8","http://www.zaragoza.es/api/recurso/sector-publico/territorio/junta-administrativa/17","http://www.zaragoza.es/api/recurso/sector-publico/territorio/barrio/4","8","50190",2012-10-17T00:00:00Z,"663079.57 4617270.16"
"http://www.zaragoza.es/api/recurso/urbanismo-infraestructuras/portalero/6679","http://www.zaragoza.es/api/recurso/urbanismo-infraestructuras/callejero/via/8040","8","http://www.zaragoza.es/api/recurso/sector-publico/territorio/junta-administrativa/4","","8","50007",2012-10-18T00:00:00Z,"676242.62 4612297.7"
"http://www.zaragoza.es/api/recurso/urbanismo-infraestructuras/portalero/6682","http://www.zaragoza.es/api/recurso/urbanismo-infraestructuras/callejero/via/8090","8","http://www.zaragoza.es/api/recurso/sector-publico/territorio/junta-administrativa/5","","8","50017",2012-10-18T00:00:00Z,"673697.52 4613728.54"
"http://www.zaragoza.es/api/recurso/urbanismo-infraestructuras/portalero/6687","http://www.zaragoza.es/api/recurso/urbanismo-infraestructuras/callejero/via/8220","8","http://www.zaragoza.es/api/recurso/sector-publico/territorio/junta-administrativa/3","","8","50003",2012-10-18T00:00:00Z,"676521.08 4613858.34"
"http://www.zaragoza.es/api/recurso/urbanismo-infraestructuras/portalero/6689","http://www.zaragoza.es/api/recurso/urbanismo-infraestructuras/callejero/via/8360","8","http://www.zaragoza.es/api/recurso/sector-publico/territorio/junta-administrativa/6","","8","50014",2012-10-18T00:00:00Z,"677487.8 4614240.69"
"http://www.zaragoza.es/api/recurso/urbanismo-infraestructuras/portalero/6691","http://www.zaragoza.es/api/recurso/urbanismo-infraestructuras/callejero/via/8420","8","http://www.zaragoza.es/api/recurso/sector-publico/territorio/junta-administrativa/4","","8","50005",2012-10-18T00:00:00Z,"675940.03 4613208.45"
"http://www.zaragoza.es/api/recurso/urbanismo-infraestructuras/portalero/6694","http://www.zaragoza.es/api/recurso/urbanismo-infraestructuras/callejero/via/8520","8","http://www.zaragoza.es/api/recurso/sector-publico/territorio/junta-administrativa/4","","8","50001",2012-10-18T00:00:00Z,"676520.64 4613157.27"
"http://www.zaragoza.es/api/recurso/urbanismo-infraestructuras/portalero/6695","http://www.zaragoza.es/api/recurso/urbanismo-infraestructuras/callejero/via/8530","8","http://www.zaragoza.es/api/recurso/sector-publico/territorio/junta-administrativa/16","http://www.zaragoza.es/api/recurso/sector-publico/territorio/barrio/3","8","50620",2012-10-17T00:00:00Z,"664080.89 4620958.78"
"http://www.zaragoza.es/api/recurso/urbanismo-infraestructuras/portalero/8676","http://www.zaragoza.es/api/recurso/urbanismo-infraestructuras/callejero/via/6580","11","http://www.zaragoza.es/api/recurso/sector-publico/territorio/junta-administrativa/7","","11","50002",2012-10-18T00:00:00Z,"677428.57 4612894.99"
"http://www.zaragoza.es/api/recurso/urbanismo-infraestructuras/portalero/8677","http://www.zaragoza.es/api/recurso/urbanismo-infraestructuras/callejero/via/6600","11","http://www.zaragoza.es/api/recurso/sector-publico/territorio/junta-administrativa/9","","11","50013",2012-10-18T00:00:00Z,"677264.47 4612295.22"
"http://www.zaragoza.es/api/recurso/urbanismo-infraestructuras/portalero/8678","http://www.zaragoza.es/api/recurso/urbanismo-infraestructuras/callejero/via/6640","11","http://www.zaragoza.es/api/recurso/sector-publico/territorio/junta-administrativa/10","","11","50007",2012-10-18T00:00:00Z,"676407.87 4610931.97"
"http://www.zaragoza.es/api/recurso/urbanismo-infraestructuras/portalero/8679","http://www.zaragoza.es/api/recurso/urbanismo-infraestructuras/callejero/via/6760","11","http://www.zaragoza.es/api/recurso/sector-publico/territorio/junta-administrativa/5","","11","50009",2012-10-18T00:00:00Z,"674043.81 4612447.7"
"http://www.zaragoza.es/api/recurso/urbanismo-infraestructuras/portalero/8680","http://www.zaragoza.es/api/recurso/urbanismo-infraestructuras/callejero/via/6780","11","http://www.zaragoza.es/api/recurso/sector-publico/territorio/junta-administrativa/7","","11","50002",2012-10-18T00:00:00Z,"678416.13 4613374.49"
"http://www.zaragoza.es/api/recurso/urbanismo-infraestructuras/portalero/8681","http://www.zaragoza.es/api/recurso/urbanismo-infraestructuras/callejero/via/6840","11","http://www.zaragoza.es/api/recurso/sector-publico/territorio/junta-administrativa/2","","11","50003",2012-10-18T00:00:00Z,"675463.23 4614438.67"
"http://www.zaragoza.es/api/recurso/urbanismo-infraestructuras/portalero/8685","http://www.zaragoza.es/api/recurso/urbanismo-infraestructuras/callejero/via/21375","11","http://www.zaragoza.es/api/recurso/sector-publico/territorio/junta-administrativa/11","","11","50005",2012-10-18T00:00:00Z,"675154.63 4612649.03"
"http://www.zaragoza.es/api/recurso/urbanismo-infraestructuras/portalero/8686","http://www.zaragoza.es/api/recurso/urbanismo-infraestructuras/callejero/via/7108","11","http://www.zaragoza.es/api/recurso/sector-publico/territorio/junta-administrativa/1","","11","50018",2012-10-18T00:00:00Z,"675946.73 4615565.48"
"http://www.zaragoza.es/api/recurso/urbanismo-infraestructuras/portalero/8688","http://www.zaragoza.es/api/recurso/urbanismo-infraestructuras/callejero/via/7180","11","http://www.zaragoza.es/api/recurso/sector-publico/territorio/junta-administrativa/13","","11","50016",2012-10-18T00:00:00Z,"680553.14 4615233.62"
"http://www.zaragoza.es/api/recurso/urbanismo-infraestructuras/portalero/8689","http://www.zaragoza.es/api/recurso/urbanismo-infraestructuras/callejero/via/7220","11","http://www.zaragoza.es/api/recurso/sector-publico/territorio/junta-administrativa/12","","11","50009",2012-10-18T00:00:00Z,"674238.6 4611216.57"
"http://www.zaragoza.es/api/recurso/urbanismo-infraestructuras/portalero/8691","http://www.zaragoza.es/api/recurso/urbanismo-infraestructuras/callejero/via/7400","11","http://www.zaragoza.es/api/recurso/sector-publico/territorio/junta-administrativa/4","","11","50006",2012-10-18T00:00:00Z,"676030.76 4612618.24"
"http://www.zaragoza.es/api/recurso/urbanismo-infraestructuras/portalero/8692","http://www.zaragoza.es/api/recurso/urbanismo-infraestructuras/callejero/via/7410","11","","","11","50004",2011-10-13T00:00:00Z,"676103.64 4613388.03"
"http://www.zaragoza.es/api/recurso/urbanismo-infraestructuras/portalero/8694","http://www.zaragoza.es/api/recurso/urbanismo-infraestructuras/callejero/via/2745","11","http://www.zaragoza.es/api/recurso/sector-publico/territorio/junta-administrativa/10","","11","50007",2012-10-18T00:00:00Z,"676072.74 4611092.8"
"http://www.zaragoza.es/api/recurso/urbanismo-infraestructuras/portalero/8697","http://www.zaragoza.es/api/recurso/urbanismo-infraestructuras/callejero/via/7610","11","http://www.zaragoza.es/api/recurso/sector-publico/territorio/junta-administrativa/22","http://www.zaragoza.es/api/recurso/sector-publico/territorio/barrio/8","11","50194",2012-10-17T00:00:00Z,"681421.38 4613274.38"
"http://www.zaragoza.es/api/recurso/urbanismo-infraestructuras/portalero/8698","http://www.zaragoza.es/api/recurso/urbanismo-infraestructuras/callejero/via/7620","11","http://www.zaragoza.es/api/recurso/sector-publico/territorio/junta-administrativa/15","http://www.zaragoza.es/api/recurso/sector-publico/territorio/barrio/2","11","50720",2012-10-17T00:00:00Z,"681511.16 4608380.7"
"http://www.zaragoza.es/api/recurso/urbanismo-infraestructuras/portalero/8700","http://www.zaragoza.es/api/recurso/urbanismo-infraestructuras/callejero/via/7670","11","http://www.zaragoza.es/api/recurso/sector-publico/territorio/junta-administrativa/17","http://www.zaragoza.es/api/recurso/sector-publico/territorio/barrio/4","11","50190",2012-10-17T00:00:00Z,"663244.86 4617337.57"
"http://www.zaragoza.es/api/recurso/urbanismo-infraestructuras/portalero/8701","http://www.zaragoza.es/api/recurso/urbanismo-infraestructuras/callejero/via/7790","11","","","11","50014",2011-10-13T00:00:00Z,"678296.81 4615748.36"
"http://www.zaragoza.es/api/recurso/urbanismo-infraestructuras/portalero/8703","http://www.zaragoza.es/api/recurso/urbanismo-infraestructuras/callejero/via/8040","11","http://www.zaragoza.es/api/recurso/sector-publico/territorio/junta-administrativa/4","","11","50007",2012-10-18T00:00:00Z,"676252.68 4612268.19"
"http://www.zaragoza.es/api/recurso/urbanismo-infraestructuras/portalero/8704","http://www.zaragoza.es/api/recurso/urbanismo-infraestructuras/callejero/via/8060","11","http://www.zaragoza.es/api/recurso/sector-publico/territorio/junta-administrativa/23","http://www.zaragoza.es/api/recurso/sector-publico/territorio/barrio/9","11","50193",2012-10-17T00:00:00Z,"683066.34 4625853.79"
"http://www.zaragoza.es/api/recurso/urbanismo-infraestructuras/portalero/8706","http://www.zaragoza.es/api/recurso/urbanismo-infraestructuras/callejero/via/13999","11","http://www.zaragoza.es/api/recurso/sector-publico/territorio/junta-administrativa/4","","11","50008",2012-10-18T00:00:00Z,"676322.9 4612379.45"
"http://www.zaragoza.es/api/recurso/urbanismo-infraestructuras/portalero/8707","http://www.zaragoza.es/api/recurso/urbanismo-infraestructuras/callejero/via/8140","11","http://www.zaragoza.es/api/recurso/sector-publico/territorio/junta-administrativa/15","http://www.zaragoza.es/api/recurso/sector-publico/territorio/barrio/2","11","50720",2012-10-17T00:00:00Z,"681621.68 4608294.97"
